lakk,ka'umsa,ka'umsa,ga'umsa,nama,a,a,a,a,d,s
acknowledge,,<h3>Gochima</h3> 1] dhugeeffachuu 2] dhugeeffannaa ofii beeksisuu 3] hoqubaa dhiyeessuu,,,,,,,,
acknowledgement,,<h3>Cibra</h3> 1] galata 2] waan tokko beekanii amananii fudhachuu,,,,,,,,
acme,,<h3>Cibra</h3> 1] bantii ykn Fiixee waan tokkoo isa dhumaa,,,,,,,,
acne,,<h3>Cibra</h3> 1] dhukkuba gogaa/coraa (waan akka finnisaa dhaqna irratti akka bahu godhu),,,,,,,,
acorn,,<h3>Cibra</h3> 1] gosa ija muka qilxuu,,,,,,,,
acoustic,,"<h3>Maqibsa</h3> 1] kan sagalee, saayinsii sagalee fi miira dhageettii",,,,,,,,
Acoustic Coupler (ICT),,"<h3>Cibra</h3> 1] Dhageettii Mijeessaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Acoustical Sound Enclosure (ICT),,"<h3>Cibra</h3> 1] Hir’isaa Sagalee, (ICT, Jecha Kompiitaraa)",,,,,,,,
acoustics,,<h3>Xumibsa</h3> 1] sagalee wajjin waan walqabate. 2] meeshaa muuziqaa kan humna elektirikii hin barbaanne. 3] qo'annoo sagalee saayinsaawwaa 4] haala sagalee kan gamoo tokko keessaa dhagahamu,,,,,,,,
acquaint,,<h3>Gochima</h3> 1] namni tokko waa'ee waan tokkoo akka beeku gochuu,,,,,,,,
acquaintance,,<h3>Cibra</h3> 1] Beekumsa xiqqoo waa'ee waan tokkoo irratti 2] nama beekan garuu immoo kan hagasmara walitti hin dhiyaanne.,,,,,,,,
acquiesce,,<h3>Gochima</h3> 1] mormii tokko malee waan tokko fudhachuu,,,,,,,,
acquiescence,,<h3>Cibra</h3> 1] Waliigaltee (fedhiin),,,,,,,,
acquire,,"<h3>Gochima</h3> 1] argachuu, gonfachuu (beekumsa)",,,,,,,,
acquisition,,<h3>Gochima</h3> 1] argachuu (Qabeenya),,,,,,,,
acquit,,<h3>Gochima</h3> 1] namni tokko yakka irraa walaba ta'uu isaa beeksisuu,,,,,,,,
acquittal,,<h3>Cibra</h3> 1] murtii namni tokko yakka ittiin himatame irraa bilisa ta'uu hubachiisu,,,,,,,,
acre,,<h3>Cibra</h3> 1] bal'ina lafaa kan iskuwer meetirii 4050,,,,,,,,
acrid,,<h3>Maqibsa</h3> 1] waan foolii cumaa ykn hadhaa'aa cimaa qabu,,,,,,,,
acrimonious,,"<h3>Maqibsa</h3> 1] hadhaa'aa 2]cimaa, jabaa (falmiif)",,,,,,,,
acrimony,,"<h3>Cibra</h3> 1] qiriiphaa, akiroobaatii",,,,,,,,
acronym,,<h3>Cibra</h3> 1] qubeelee jalqabaa walitti fiduun jecha uumamu,,,,,,,,
acronym,,<h3>Cibra</h3> 1] qubeelee jalqabaa walitti fiduun jecha uumamu,,,,,,,,
Acronym (ICT),,"<h3>Cibra</h3> 1] Gabaajee, Gabaajee, (ICT, Jecha Kompiitaraa)",,,,,,,,
Across (ICT),,"<h3>Cibra</h3> 1] Gamaa-Gamana, (ICT, Jecha Kompiitaraa)",,,,,,,,
act,,"<h3>Gochima</h3> 1] gochaa, hojii 2] gochuu, hojjechuu, taphachuu 3] agarsiisa (diraamaaf kkf)",,,,,,,,
acting,,"<h3>Cibra</h3> 1] eeggataa, eeggattuu",,,,,,,,
action,,"<h3>Cibra</h3> 1] hojmaata, gochaa",,,,,,,,
Action (ICT),,"<h3>Cibra</h3> 1] Gocha, Gochaa, Hojimaata, Gocha, (ICT, Jecha Kompiitaraa)",,,,,,,,
Action Button (ICT),,"<h3>Cibra</h3> 1] Qabduu Gochaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
activate,,"<h3>Gochima</h3> 1] si'eessuu, kaasuu",,,,,,,,
Activate (ICT),,"<h3>Gochima</h3> 1] Kakaasi, Kakaasi, (ICT, Jecha Kompiitaraa)",,,,,,,,
active,,"<h3>Maqibsa</h3> 1] si'aawaa, si'ooftuu, hisataa, hisattuu",,,,,,,,
Active (ICT),,"<h3>Maqibsa</h3> 1] Hisataa, Hisattuu, Ka’aa, Si’aawaa, Si’ooftuu, Ka’aa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Active Area (ICT),,"<h3>Cibra</h3> 1] Iddoo Ka’aa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Active Cell (ICT),,"<h3>Cibra</h3> 1] Maadhee Ka’aa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Active Database (ICT),,"<h3>Cibra</h3> 1] Kuusdeetaa Ka’aa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Active Document (ICT),,"<h3>Cibra</h3> 1] Galmee Ka’aa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Active Window (ICT),,"<h3>Cibra</h3> 1] Foddaa Ka’aa, (ICT, Jecha Kompiitaraa)",,,,,,,,
activity,,"<h3>Cibra</h3> 1] sochii, hojii",,,,,,,,
actor,,<h3>Cibra</h3> 1] taatoo (dhiiraaf),,,,,,,,
actors,,<h3>Cibra</h3> 1] taatota,,,,,,,,
actress,,<h3>Cibra</h3> 1] taatoo (dubartii),,,,,,,,
actual,,"<h3>Maqibsa</h3> 1] kan dhugaa, isa sirrii 2] kan amma jiru",,,,,,,,
Actual Size (ICT),,"<h3>Cibra</h3> 1] Hammamtaa Dhugaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
actually,,<h3>Xumibsa</h3> 1] dhugaadhumatti,,,,,,,,
actuate,,<h3>Gochima</h3> 1] maashiniin akka hojjetu gochuu 2] kakaasuu,,,,,,,,
acuity,,"<h3>Cibra</h3> 1] gamnummaa, abshaalummaa, haxxummaa, si'aayina qabaachuu",,,,,,,,
acumen,,<h3>Cibra</h3> 1] dandeettii dafanii murtii kennuu (waa dafanii hubatanii),,,,,,,,
acupuncture,,<h3>Cibra</h3> 1] mala lilmoo qaqallootiin narvii waraananii wal'aanuu,,,,,,,,
acute,,"<h3>Maqibsa</h3> 1] rakkisaa, cimaa (dhukkubaaf)",,,,,,,,
ad hoc,,"<h3>Maqibsa</h3> 1] kaayyoo addaa tokkoof waan dhaabbate, dursee waan itti hin yaadamiin",,,,,,,,
ad lib,,"<h3>Xumibsa</h3> 1] barreeffama osoo harkatti hin qabatii dubbachuu, fakkeessuu 2] utuu hin dhiphatiin",,,,,,,,
adage,,<h3>Cibra</h3> 1] mammaaksa,,,,,,,,
Adam's apple,,"<h3>Cibra</h3> 1] liqimsituu, lumma, kokkee",,,,,,,,
adamant,,<h3>Maqibsa</h3> 1] nama laafaatti yaada isaa hin jijjiirre,,,,,,,,
adapt,,<h3>Gochima</h3> 1] madaqsuu,,,,,,,,
adaptability,,<h3>Cibra</h3> 1] haalota jijijjiramanitti madaquu,,,,,,,,
adapter,,<h3>Cibra</h3> 1] karaa haaraa ta'een waan tokkotti fayyadamuuf meeshaa nama gargaaru.,,,,,,,,
Adapter (ICT),,"<h3>Maqibsa</h3> 1] Amanfataa, Amanfataa, (ICT, Jecha Kompiitaraa)",,,,,,,,
add,,"<h3>Gochima</h3> 1] dabaluu, eda'uu",,,,,,,,
Add (ICT),,"<h3>Gochima</h3> 1] Ida’i, Ida’i, (ICT, Jecha Kompiitaraa)",,,,,,,,
Add File (ICT),,"<h3>Gochima</h3> 1] Faayila Ida’i, (ICT, Jecha Kompiitaraa)",,,,,,,,
Add New (ICT),,"<h3>Gochima</h3> 1] Haaraa Ida’i, (ICT, Jecha Kompiitaraa)",,,,,,,,
Add Picture (ICT),,"<h3>Gochima</h3> 1] Suuraa Ida’i, (ICT, Jecha Kompiitaraa)",,,,,,,,
Add-In (ICT),,"<h3>Maqibsa</h3> 1] Idaatuu, (ICT, Jecha Kompiitaraa)",,,,,,,,
addendum,,<h3>Cibra</h3> 1] katabbii akka dabalataatti dhuma irratti barreeffamu,,,,,,,,
addict,,<h3>Cibra</h3> 1] nama araada wayii qabu,,,,,,,,
addiction,,"<h3>Cibra</h3> 1] araada, haraaraa",,,,,,,,
addictive,,<h3>Maqibsa</h3> 1] araachisaa,,,,,,,,
addition,,"<h3>Cibra</h3> 1] dabala, edaasa",,,,,,,,
additional,,"<h3>Maqibsa</h3> 1] dabalata, edaasa",,,,,,,,
additive,,<h3>Cibra</h3> 1] quyyifa waan nyaataa fi qorichatti dabalamu,,,,,,,,
addled,,"<h3>Maqibsa</h3> 1] diddoo, ajoo, ajeessaa, 2] burjaaja'aa, burjaajoftuu",,,,,,,,
address,,"<h3>Cibra</h3> 1] teessuma, teessoo",,,,,,,,
Address (ICT),,"<h3>Cibra</h3> 1] Teesso, Teessoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
Address Bar (ICT),,"<h3>Cibra</h3> 1] Kabala Teessoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
Address Book (ICT),,"<h3>Cibra</h3> 1] Yaadannoo Teessoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
Address Labels (ICT),,"<h3>Cibra</h3> 1] Moggaasa Teessoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
Address Space (ICT),,"<h3>Cibra</h3> 1] Edda Teessoo, (ICT, Jecha Kompiitaraa)",,,,,,,,
adduce,,<h3>Gochima</h3> 1] dhiyeessuu (akka ragaa ykn fkn itti),,,,,,,,
adept,,"<h3>Maqibsa</h3> 1] ogeessa, hayyuu",,,,,,,,
adequate,,"<h3>Maqibsa</h3> 1] ga'aa, quubsaa",,,,,,,,
adhere,,"<h3>Gochima</h3> 1] hordofuu (seera, sirna fi kkf) 2] wayitti qabachuu 3] yaada/kaayyoo tokkotti cichuu, deeggaruu",,,,,,,,
adherence,,<h3>Cibra</h3> 1] deeggartummaa,,,,,,,,
adherent,,"<h3>Cibra</h3> 1] deggeraa, deggertuu (jaarmiyaa siyaasaa fi kkf)",,,,,,,,
adhesion,,<h3>Cibra</h3> 1] waan tokkotti qabachuu/maxxanuu,,,,,,,,
adhesive,,<h3>Cibra</h3> 1] haphee,,,,,,,,
adjacent,,"<h3>Maqibsa</h3> 1] wal bira, cinaa kan jiru, itti aanee",,,,,,,,
adjective,,"<h3>Cibra</h3> 1] maqibsa, maqibsii, addeessa",,,,,,,,
adjoining,,"<h3>Maqibsa</h3> 1] dhihoo, cinaa kan jiru",,,,,,,,
adjourn,,<h3>Gochima</h3> 1] guyyaa birootiif dabarsuu (walga'ii fi kkf) 2] bakka kan biraa deemuu,,,,,,,,
adjournment,,<h3>Cibra</h3> 1] beellama,,,,,,,,
adjudge,,<h3>Maqibsa</h3> 1] waanti tokko dhugaa ta'uu isaa beeksisuu yookiin akka waan dhugaa ta'etti fudhachuu,,,,,,,,
adjudicate,,<h3>Gochima</h3> 1] waldhabdee namoota giddii jiru gad fageenyaan xiinxalanii murtii kennuu 2] dugommii irratti akka abbaa murtii ta'anii hojjechuu,,,,,,,,
adjunct,,<h3>Cibra</h3> 1] waan akka miitootti waan tokkotti dabalamee garuu immoo hagasmara barbaachisaa hin taane 2] gochima tokko caalaatti ibsuuf dabalgochima himaaf kanneen fakkaatanitti dabalamu,,,,,,,,
adjure,,<h3>Gochima</h3> 1] jabeessanii gaafachuu,,,,,,,,
adjust,,"<h3>Gochima</h3> 1] sirreessuu, tottolchuu (haala haaraa wajjin akka wal fudhatu)",,,,,,,,
Adjust To (ICT),,"<h3>Gochima</h3> 1] Itti Mijeessi, (ICT, Jecha Kompiitaraa)",,,,,,,,
adjustable,,<h3>Maqibsa</h3> 1] akka barbaadanitti sirreeffamuu waan danda'u,,,,,,,,
adjutant,,<h3>Cibra</h3> 1] qondaala loltuu kan dhimma bulchiinsaa fi naamusaatti itti gaafatamaa ta'e.,,,,,,,,
administer,,"<h3>Gochima</h3> 1] bulchuu, to'achuu 2] hojii irra oolchuu 3] qoricha kennuu",,,,,,,,
Administer (ICT),,"<h3>Gochima</h3> 1] Bulchi, (ICT, Jecha Kompiitaraa)",,,,,,,,
administration,,<h3>Cibra</h3> 1] bulchiinsa,,,,,,,,
administrator,,"<h3>Cibra</h3> 1] bulchaa, gaggeessaa",,,,,,,,
Administrator (ICT),,"<h3>Maqibsa</h3> 1] Bulchaa, Geggeessaa, Hoogganaa, Bulchaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Administrator Setup (ICT),,"<h3>Cibra</h3> 1] Qindaa’ina Bulchaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
admirable,,"<h3>Maqibsa</h3> 1] kan dinqisiifamu, dinqisiisaa, maalalchisaa",,,,,,,,
admiral,,<h3>Cibra</h3> 1] qondaala ol'aanaa kan humna galaanaa,,,,,,,,
admiration,,"<h3>Cibra</h3> 1] dinqisiifannoo, raajeffannaa, maalalchiifannaa",,,,,,,,
admire,,"<h3>Gochima</h3> 1] jajuu, dinqisiifachuu",,,,,,,,
admirer,,"<h3>Cibra</h3> 1] leellisaa, leelliftuu",,,,,,,,
admissible,,<h3>Maqibsa</h3> 1] waan fudhatama qabu rakkina kan hin qabne,,,,,,,,
admission,,<h3>Cibra</h3> 1] waan balleessan tokko amananii fudhachuu 2] seenuu 3] gatii seensaa,,,,,,,,
admit,,<h3>Gochima</h3> 1] amanuu (balleessaa) 2] akka seenuuf eeyyamuu,,,,,,,,
admittance,,<h3>Cibra</h3> 1] mirga seensaa,,,,,,,,
admixture,,"<h3>Maqibsa</h3> 1] makaa, makamaa",,,,,,,,
admonish,,<h3>Gochima</h3> 1] akeekkachiisuu 2] gorsuu (haala jabaa ta'een) 3] dheekkamuu,,,,,,,,
admonishment,,"<h3>Cibra</h3> 1] akkeekkachiisa, (amala sirreessuuf)",,,,,,,,
admonition,,"<h3>Cibra</h3> 1] ifaatii, ifaatoo, (amala sirreessuuf)",,,,,,,,
admonitory,,<h3>Maqibsa</h3> 1] akeekkachiisa,,,,,,,,
ado,,"<h3>Cibra</h3> 1] walanee, rakkina deddeebi'u",,,,,,,,
adobe,,<h3>Cibra</h3> 1] xuubii aduudhaan gogfame,,,,,,,,
Adobe Acrobat (ICT),,"<h3>Cibra</h3> 1] Akroobaatii Adoobee, (ICT, Jecha Kompiitaraa)",,,,,,,,
Adobe Photoshop (ICT),,"<h3>Cibra</h3> 1] Footooshooppii Adoobee, (ICT, Jecha Kompiitaraa)",,,,,,,,
adolescence,,"<h3>Cibra</h3> 1] yeroo dargaggummaa, saalfannoo",,,,,,,,
adolescent,,"<h3>Cibra</h3> 1] dardara, shamarra",,,,,,,,
adopt,,"<h3>Gochima</h3> 1] mucaa ormaa fuudhanii akka kan ofiitti guddifachuu 2] waan tokko akka kan ofiitti itti fayyadamuu 3] nama tokko akka kaadhimaatti ykn bakka bu'aatti filuu 4] gabaasa, yaada fudhachuu (raggaasisuuf)",,,,,,,,
adoption,,<h3>Cibra</h3> 1] yaada nama kan biraa fudhatanii itti fayyadamuu 2] guddifachaa fudhachuu,,,,,,,,
adorable,,"<h3>Maqibsa</h3> 1] jaallatamaa, jaallatamtuu",,,,,,,,
adoration,,"<h3>Cibra</h3> 1] jaalala guddaa, leellifannaa (baay'ina jaalalaa irraan kan ka'e)",,,,,,,,
adore,,"<h3>Gochima</h3> 1] baay'isanii jaalachuu, leellisuu, faarsuu",,,,,,,,
adorn,,"<h3>Gochima</h3> 1] shashaqachuu, ofbareechuu, bareechuu, fuuluu",,,,,,,,
adornment,,"<h3>Cibra</h3> 1] faaya, jifaara",,,,,,,,
adrenal,,<h3>Cibra</h3> 1] adireenaalii,,,,,,,,
adrenalin,,<h3>Cibra</h3> 1] adireenaaliinii (hormoonii adireenaaliin omishamu),,,,,,,,
adrift,,<h3>Cibra</h3> 1] doonii ykn bidiruu lafatti hin hidhamne kan callisee bishaanirra bololi'u,,,,,,,,
adroit,,"<h3>Maqibsa</h3> 1] qareessa, qareettii, si'aawaa",,,,,,,,
Adserver (ICT),,"<h3>Maqibsa</h3> 1] Dha-Kaadimtuu, (ICT, Jecha Kompiitaraa)",,,,,,,,
adulate,,"<h3>Gochima</h3> 1] garmalee leellisuu, faarsuu",,,,,,,,
adulation,,"<h3>Cibra</h3> 1] jajuu, dinqisiifachuu",,,,,,,,
adult,,<h3>Maqibsa</h3> 1] ga'eessa,,,,,,,,
adulterate,,<h3>Gochima</h3> 1] waan biraa itti makuudhaan waan tokko ququllinni isaa akka gadi bu'u gochuu,,,,,,,,
adulterer,,"<h3>Cibra</h3> 1] halalee, eejjaa, mermertuu",,,,,,,,
adulteress,,"<h3>Cibra</h3> 1] ejjaa, halalee,",,,,,,,,
adulterous,,"<h3>Maqibsa</h3> 1] halalee, eejjaa, mermertuu",,,,,,,,
adultery,,"<h3>Cibra</h3> 1] ejja, halalummaa, gaalamootummaa",,,,,,,,
advance,,"<h3>Cibra</h3> 1] gara fuulduraatti deemuu, dhiibuu 2] osoo hojiin hin xumuramiin maallaqa dursee kenname, liqii 3] gatii dabalataa <h3>Gochima</h3> haala sodaachisaa ta'een gara namaatti adeemuu 2] jijjiirama ykn guddina agarsiisuu 3] liqeessuu 4] mariif yaada dhiyaassuu 5] gatiin meeshaalee dabaluu",,,,,,,,
Advance (ICT),,"<h3>Cibra</h3> 1] Olaansi, Olaansi, (ICT, Jecha Kompiitaraa)",,,,,,,,
Advanced (ICT),,"<h3>Cibra</h3> 1] Olaanaa, Olaanaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
Advanced Setup Options (ICT),,"<h3>Cibra</h3> 1] Filmaata Ijaarsa Ol’aanaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
advancement,,<h3>Cibra</h3> 1] guddina hojii ykn aankii,,,,,,,,
advantage,,"<h3>Cibra</h3> 1] faayidaa irra wayyaa'aa ta'e, carraa gaarii, bu'aa, rahaa",,,,,,,,
advantageous,,"<h3>Maqibsa</h3> 1] bu'aa qabeessa, kan caalaatti faayidaa qabu",,,,,,,,
advent,,"<h3>Cibra</h3> 1] gahuu, dhiyaachuu 2] ayyaanni gooftaa keenya yesuus gahuu isaan dura torbanoota jiran arfan.",,,,,,,,
adventitious,,<h3>Maqibsa</h3> 1] waan tasa ta'e,,,,,,,,
adventure,,"<h3>Cibra</h3> 1] imala balaa fiduu danda'u 2] jabduu, gochaa hagasmara beekamaa hin taane",,,,,,,,
adventurer,,<h3>Cibra</h3> 1] nama jabduu hojjechuu barbaadu,,,,,,,,
adventurous,,<h3>Maqibsa</h3> 1] balaa kan fidu ta'us waan haaraa raaw'achuf nama yaalu,,,,,,,,
adverb,,"<h3>Cibra</h3> 1] dabalgochima, xumibsa, xumibsii",,,,,,,,
adversary,,"<h3>Cibra</h3> 1] diina, nyaaphaa, siddii, amajaajii",,,,,,,,
adverse,,"<h3>Maqibsa</h3> 1] faallaa kan ta'e, mijaa'aa kan hin taane",,,,,,,,
adversity,,"<h3>Cibra</h3> 1] rakkina, yeroo gadhee",,,,,,,,
advertise,,"<h3>Gochima</h3> 1] dhaadhessuu, beeksisuu (meeshaalee daldalaa)",,,,,,,,
advertisement,,"<h3>Cibra</h3> 1] beeksisa, dhaadheessa (kan daldalaa)",,,,,,,,
advertiser,,"<h3>Cibra</h3> 1] dhaadhessaa, dhaadhessituu, beeksisuu",,,,,,,,
advice,,<h3>Cibra</h3> 1] gorsa (gorsuu),,,,,,,,
advisable,,<h3>Maqibsa</h3> 1] yoo godhan yookiin yoo raaw'atan filatamaa waan ta'e,,,,,,,,
advise,,<h3>Gochima</h3> 1] gorsuu,,,,,,,,
advisor,,"<h3>Cibra</h3> 1] gorsaa, gorsituu, makkala, gorsa nama kennu (barataadhaaf.)",,,,,,,,
advisory,,"<h3>Cibra</h3> 1] gorsaa, gorsituu",,,,,,,,
advocacy,,<h3>Cibra</h3> 1] deggersa kennuu 2]ahukaattummaa,,,,,,,,
advocate,,<h3>Gochima</h3> 1] waan tokkko deggeranii addababa'itti dubbachuu <h3>Cibra</h3> 1] waan tokko deggeree nama addababa'itti dubbatu 2] Abukaattoo,,,,,,,,
adze,,<h3>Cibra</h3> 1] qottoo,,,,,,,,
aerate,,<h3>Gochima</h3> 1] waan dhangala'aatti qilleensa qicuu,,,,,,,,
aerial,,"<h3>Cibra</h3> 1] gaanfollee, anteenaa <h3>Maqibsa</h3> 1] xiyyaura/qillensa irraa",,,,,,,,
aerie,,<h3>Cibra</h3> 1] man'ee allaattiilee (kanneen akka risaa fi kk fakkaatanii),,,,,,,,
aerobics,,<h3>Cibra</h3> 1] erobiksii (gosa ispoortii baay'ina oksijiinii qaama keessa jiru dabaluuf hojjetamu),,,,,,,,
aerodrome,,<h3>Cibra</h3> 1] buufata xiyyaaraa,,,,,,,,
aeronautics,,<h3>Cibra</h3> 1] barnoota xiyyaara suphuu fi oofuu (saayinsii irratti kan hundaa'e),,,,,,,,
aeroplane,,<h3>Cibra</h3> 1] xiyyaara,,,,,,,,
aesthetic,,<h3>Maqibsa</h3> 1] dinqisiifannaa bareedinaa (kees. artii keessatti ),,,,,,,,
afar,,<h3>Maqibsa</h3> 1] fagootti,,,,,,,,
affable,,"<h3>Maqibsa</h3> 1] nama laafaatti itti dhiyaachuun danda'amu, kan namatti hin ulfaanne",,,,,,,,
affair,,"<h3>Cibra</h3> 1] giroo, dhimma, haajaa",,,,,,,,
affect,,<h3>Gochima</h3> 1] dhiibbaa gochuu 2] tuquu 3] miira gaddaa,,,,,,,,
Affect (ICT),,"<h3>Gochima</h3> 1] Dhiibbessuu, Dhiibbessuu, (ICT, Jecha Kompiitaraa)",,,,,,,,
affectation,,<h3>Cibra</h3> 1] amala kijibaa (fakkeessuuf kan agarsiisan),,,,,,,,
affected,,"<h3>Maqibsa</h3> 1] itti fakkeessuuf waan hojjetame, garaa irraa kan hin maddine",,,,,,,,
affection,,"<h3>Cibra</h3> 1] jaalala, kabajaa",,,,,,,,
affectionate,,"<h3>Maqibsa</h3> 1] jaallatamtuu, jaallatamau",,,,,,,,
affidavit,,<h3>Cibra</h3> 1] sagalee kakaa (kan barreeffamaan mana murtiif dhihaate),,,,,,,,
affiliate,,<h3>Maqibsa</h3> 1] nama/dhaabbata tokko dhaabbata beekamaa kan biraa wajin wal quunnamsiisuu,,,,,,,,
Affiliation (ICT),,"<h3>Cibra</h3> 1] Aantummaa, Aantummaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
affinity,,<h3>Cibra</h3> 1] hariiroo yookiin waliti dhufeenya jabaa 2] wal fakkeenya mirkaneessuu,,,,,,,,
affirm,,<h3>Gochima</h3> 1] mirkaneessuu,,,,,,,,
affirmation,,<h3>Cibra</h3> 1] mirkaneessuu,,,,,,,,
affirmative,,<h3>Maqibsa</h3> 1] tole haa ta'u jedhanii waliigaluu <h3>Cibra</h3> 1] jecha waliigaltee agarsiisu (eeyyee tole),,,,,,,,
affix,,<h3>Gochima</h3> 1] maxxansuu (keenyan manaa irratti),,,,,,,,
affixes,,<h3>Cibra</h3> 1] fufata,,,,,,,,
afflict,,"<h3>Gochima</h3> 1] gidiraa arguu, dhiphachuu",,,,,,,,
affliction,,"<h3>Cibra</h3> 1] gidiraa, cinqi, rakkina, dhukkuba jabaa",,,,,,,,
affluence,,"<h3>Cibra</h3> 1] duroommi, sooroma, badhaadhummaa",,,,,,,,
affluent,,"<h3>Maqibsa</h3> 1] sooressa, badhaadhaa",,,,,,,,
afford,,"<h3>Gochima</h3> 1] danda'uu (maallaqa, yeroo fi waantoota fafakkaatan aarsaa gochuuf yookiin baasuuf)",,,,,,,,
afforest,,<h3>Gochima</h3> 1] bosona uwwisuu,,,,,,,,
affray,,"<h3>Maqibsa</h3> 1] jeequmsa, goolii, lola",,,,,,,,
affront,,"<h3>Cibra</h3> 1] jecha/ haasaa nama mufachiisu, arrabsoo",,,,,,,,
Afghanistan,,"<h3>Maqqofee</h3> 1] Afgaanistaan, maqaa biyyaati.",,,,,,,,
afield,,<h3>Xumibsa</h3> 1] bakka barame iraa fagaachuu,,,,,,,,
afire,,<h3>Maqibsa</h3> 1] gubachuutti waan jiru,,,,,,,,
aflame,,<h3>Maqibsa</h3> 1] kan boba'u 2] baay'ee qaana'uu yookiin dharraa ol'aanaa agarsiisuu,,,,,,,,
afloat,,"<h3>Maqibsa</h3> 1] kan bololi'u (bishaan irra) 2] galaana irra, doonii irra 3] rakkina/cinqii keessaa ba'uu",,,,,,,,
afoot,,<h3>Maqibsa</h3> 1] waan ta'uutti jiru,,,,,,,,
aforesaid,,<h3>Maqibsa</h3> 1] waan dursee jedhame,,,,,,,,
afraid,,<h3>Maqibsa</h3> 1] sodaadhaan kan guutame <h3>Gochima</h3> 1] sodaachuu,,,,,,,,
afresh,,"<h3>Maqibsa</h3> 1] keessa deebi'uu, akka haaraatti jalqubuu",,,,,,,,
Africa,,"<h3>Maqqofee</h3> 1] Afrikaa, maqaa ardiiti.",,,,,,,,
Afro,,"<h3>Maqibsa</h3> 1] Afroo, goofaree, waan Afrikaa waliin wal qabatu.",,,,,,,,
aft,,<h3>Cibra</h3> 1] dudduuba doonii,,,,,,,,
after,,"<h3>Xumibsa</h3> 1] booda, booddee, duuba, gulana, maayessa",,,,,,,,
After Animation (ICT),,"<h3>Cibra</h3> 1] Fakkina Sochii Boodaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
afterbirth,,"<h3>Cibra</h3> 1] daatii, obbaatii",,,,,,,,
aftermath,,<h3>Maqibsa</h3> 1] taatee gadhee /hamaa,,,,,,,,
afternoon,,<h3>Cibra</h3> 1] waaree booda,,,,,,,,
afterwards,,"<h3>Xumibsa</h3> 1] eger, booddee",,,,,,,,
again,,"<h3>Xumibsa</h3> 1] ammas, lamuu, irra deebi, lammata, ammallee",,,,,,,,
against,,<h3>Cibra</h3> 1] farra,,,,,,,,
agamete,,<h3>Cibra</h3> 1] walqunnamtii saalaa ala seeliin dhiiraa madduu ykn hanqaaquun overii keessatti cabuu.,,,,,,,,
agape,,"<h3>Maqibsa</h3> 1] afaan banuu (dinqisiifannaa ofii ibsuuf yookii amuummachuuf), jaalala koonayaa ykn saala faallaa hin taane.",,,,,,,,
agaric,,"<h3>Cibra</h3> 1] harraqoo, uukkoo, horroqoo, shashara, commee, abbaa-maarqoo, dhuufuu jaarsaa",,,,,,,,
Agate (ICT),,"<h3>Cibra</h3> 1] Ageetii, Ageetii, (ICT, Jecha Kompiitaraa)",,,,,,,,
age,,"<h3>Cibra</h3> 1] umurii, ganna, waggaa",,,,,,,,
aged,,"<h3>Maqibsa</h3> 1] otontoraa, otontortuu, dulloomaa, dulloomtuu",,,,,,,,
ageless,,"<h3>Maqibsa</h3> 1] kan barabaraa, waan hin dulloomne",,,,,,,,
agency,,<h3>Cibra</h3> 1] dhaabbata daldalaa tajaajila murtaa'e kennu 2] waajjira mootunmaa tajaajila murtaa'e kennu,,,,,,,,
agenda,,<h3>Cibra</h3> 1] ajandaa,,,,,,,,
agent,,"<h3>Cibra</h3> 1] abbaana, wakiila",,,,,,,,
Agent (ICT),,"<h3>Cibra</h3> 1] Abbaanaa, Iddoomaa, Iddoomaa, (ICT, Jecha Kompiitaraa)",,,,,,,,
agglomerate,,"<h3>Gochima</h3> 1] walitti qabuu, waitti sassaabuu",,,,,,,,
agglomeration,,"<h3>Cibra</h3> 1] bakka tokkotti kuusamuu, baay'achuu",,,,,,,,
agglutinate,,<h3>Gochima</h3> 1] walitti qabsiisuu,,,,,,,,
aggrandize,,"<h3>Gochima</h3> 1] guddisuu, dabalu",,,,,,,,
aggravate,,<h3>Gochima</h3> 1] abaasuu,,,,,,,,
aggregate,,"<h3>Cibra</h3> 1] dimshaasha, edaasa/ herrega waliigalaa",,,,,,,,
aggression,,"<h3>Cibra</h3> 1] miira diinummaa, jibba",,,,,,,,
aggressive,,<h3>Maqibsa</h3> 1] kan dubbii yookiin lola jaalatu,,,,,,,,
